Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
ABN-AHW-BIZ-T04.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-HUB-T04.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T11.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-APP-T18.ahw.tzghosting.net,No Change required,Y,2,2
ABNAHWSQLCLT15A.ahw.tzghosting.net,No Change required,Y,2,2
ABNAHWCLUST11.ahw.tzghosting.net,No Change required,Y,2,2
ABNAHWSQLCLT11A.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-IHM-03.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-12.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-XEN-02.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-13.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WEB-05.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WEB-06.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WEB-07.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WEB-08.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WEB-09.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WEB-10.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-07.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-08.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-09.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-10.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-11.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-12.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CAE-13.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-14.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-15.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CLUS-14.ahw.tzghosting.net,No Change required,Y,2,2
CSNAHWSQLCL14A.ahw.tzghosting.net,No Change required,Y,2,2
CSNAHWSQLCL10A.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-BIZ-02.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-08.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-HUB-02.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-15.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-13.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-14.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-TME-01.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-TME-02.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-10.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WAS-03.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-WAS-04.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-11.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CLUS-10.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-09.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-10.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-11.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-APP-12.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-ADC-01.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CSF-01.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-CSF-02.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-99.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-ADC-01.ahw.tzghosting.net,Change Required,Y,,2
CSN-AHW-ADC-02.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-CSF-01.ahw.tzghosting.net,Change Required,Y,,2
CSN-AHW-CSF-02.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-99.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-ADC-02.ahw.tzghosting.net,No Change required,Y,2,2
csnahwclus99.ahw.tzghosting.net,No Change required,Y,2,2
ABN-AHW-SQL-T17.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AHW-SQL-17.ahw.tzghosting.net,No Change required,Y,2,2
CSN-AMS-DC-01.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-DC-02.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-APP-01.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-APP-02.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-APP-03.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-SQL-01.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-SQL-02.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-DC-01.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-DC-02.ams.tzghosting.net,No Change required,Y,2,2
CSN-AMS-DFS-01.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-DFS-01.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-APP-01.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-APP-03.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-SQL-01.ams.tzghosting.net,No Change required,Y,2,2
ABN-AMS-APP-02.ams.tzghosting.net,No Change required,Y,2,2
CSN-ATR-DC-02.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-DC-01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-DC-01.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-DFS-01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-DC-02.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-DFS-01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-WEB-01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-RVR-01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-SQL-T02.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-IHM-T01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-SQL-T01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-APP-T01.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-SQL-02.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-IHM-01.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-WEB-01.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-SQL-01.ATR.tzghosting.net,No Change required,Y,2,2
CSN-ATR-APP-01.ATR.tzghosting.net,No Change required,Y,2,2
ABN-ATR-PLT-01.ATR.tzghosting.net,Change Required,Y,,2
CSN-AVC-DC-01.avc.tzghosting.net,No Change required,Y,2,2
CSN-AVC-DC-02.avc.tzghosting.net,No Change required,Y,2,2
ABN-AVC-DC-01.avc.tzghosting.net,-,-,-,Ping Failed
ABN-AVC-DC-02.avc.tzghosting.net,No Change required,Y,2,2
CSN-AVC-DFS-01.avc.tzghosting.net,No Change required,Y,2,2
ABN-AVC-DFS-01.avc.tzghosting.net,No Change required,Y,2,2
CSN-AVC-BIZ-01.avc.tzghosting.net,-,-,-,Ping Failed
CSN-AVC-HUB-01.avc.tzghosting.net,-,-,-,Ping Failed
CSN-B01-DC-02.b01.tzghosting.net,No Change required,Y,2,2
CSN-B01-DC-01.b01.tzghosting.net,No Change required,Y,2,2
ABN-B01-DC-01.b01.tzghosting.net,No Change required,Y,2,2
ABN-B01-DC-02.b01.tzghosting.net,No Change required,Y,2,2
ABN-B01-DFS-01.b01.tzghosting.net,No Change required,Y,2,2
ABN-B01-SQL-T13.b01.tzghosting.net,No Change required,Y,2,2
ABN-B01-IHM-T04.b01.tzghosting.net,Change Required,,,
ABN-B01-APP-T11.b01.tzghosting.net,No Change required,Y,2,2
ABN-B01-SQL-T12.b01.tzghosting.net,No Change required,Y,2,2
CSN-B02-DC-01.b02.tzghosting.net,Change Required,Y,,2
CSN-B02-DC-02.b02.tzghosting.net,Change Required,Y,,2
ABN-B02-DC-01.b02.tzghosting.net,Change Required,Y,,2
ABN-B02-DC-02.b02.tzghosting.net,Change Required,Y,,2
ABN-B02-DFS-01.b02.tzghosting.net,Change Required,Y,,2
CSN-B03-DC-01.b03.tzghosting.net,No Change required,Y,2,2
ABN-B03-DC-02.b03.tzghosting.net,No Change required,Y,2,2
ABN-B03-DC-01.b03.tzghosting.net,No Change required,Y,2,2
CSN-B03-DC-02.b03.tzghosting.net,No Change required,Y,2,2
ABN-B03-DFS-01.b03.tzghosting.net,No Change required,Y,2,2
CSN-BCN-DC-02.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-DC-01.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-DC-01.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-DFS-01.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-DFS-01.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-WAS-D02.bcn.tzghosting.net,-,-,-,Ping Failed
ABN-BCN-ZDC-04.bcn.tzghosting.net,Change Required,Y,0,3
ABN-BCN-XEN-D04.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-SQL-D08.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-D02.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-D04.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-XEN-D03.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-CWI-01.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CWI-02.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-D03.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-WEB-T29.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-ZDC-05.bcn.tzghosting.net,Change Required,Y,0,3
CSN-BCN-ZDC-05.bcn.tzghosting.net,Change Required,Y,0,3
CSN-BCN-ZDC-04.bcn.tzghosting.net,Change Required,Y,0,3
CSN-BCN-CWI-02.bcn.tzghosting.net,No Change required,Y,2,2
