BulletinID,ArticleID,Present or Missing,SUG Name,Detail
3104002,NA,Not found in SCCM,NA,NA
MS13-082,2861208,Missing,SUG-Feb-2018,Security Updates - Windows 7
MS14-026,2931356,Present,SUG-Feb-2018,Security Updates - Windows 7
2931365,NA,Not found in SCCM,NA,NA
MS14-026,2931356,Missing,SUG-Feb-2018,Security Updates - Windows 7
2931368,NA,Not found in SCCM,NA,NA
MS14-026,2931356,Missing,SUG-Feb-2018,Security Updates - Windows 7
2931368,NA,Not found in SCCM,NA,NA
MS14-026,2931356,Missing,SUG-Feb-2018,Security Updates - Windows 7
2931358,NA,Not found in SCCM,NA,NA
MS14-026,2931356,Missing,SUG-Feb-2018,Security Updates - Windows 7
2931366,NA,Not found in SCCM,NA,NA
MS14-026,2931356,Missing,SUG-Feb-2018,Security Updates - Windows 7
MS15-050,3055642,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS15-050,3055642,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-027,2807986,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS15-005,3022777,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2847311,NA,Not found in SCCM,NA,NA
MS15-005,3022777,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2855844,NA,Not found in SCCM,NA,NA
MS15-005,3022777,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-081,2862330,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-081,2862335,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-081,2864202,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-081,2868038,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2876284,NA,Not found in SCCM,NA,NA
MS13-081,2868038,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2883150,NA,Not found in SCCM,NA,NA
MS13-081,2868038,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-081,2884256,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS12-033,2690533,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2719985,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2721691,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
2719985,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
973544,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
973551,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
973552,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142024,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142033,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142037,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142024,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142026,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142030,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
3142036,NA,Not found in SCCM,NA,NA
MS12-033,2690533,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS13-090,2900986,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
MS14-040,2961072,Present,SUG-Feb-2018,English - French
3163245,NA,Not found in SCCM,NA,NA
