Server,RebootStatus
ABN-CMB-CAE-T20.CMB.tzghosting.net,Reboot Not Required
CSN-THR-APP-03.THR.tzghosting.net,Connection-Error
ABN-CMB-CSF-02.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-DC-01.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-DC-02.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-DFS-01.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-D03.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-D04.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T01.CMB.tzghosting.net,Reboot Not Required
CSN-THR-APP-04.THR.tzghosting.net,Connection-Error
ABN-CMB-FHG-T02.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T04.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T06.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T07.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T11.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T14.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T15.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T16.CMB.tzghosting.net,Reboot Not Required
CSN-THR-APP-06.THR.tzghosting.net,Connection-Error
ABN-CMB-FHG-T17.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T18.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T19.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T20.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T21.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T22.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FHG-T23.CMB.tzghosting.net,Reboot Not Required
CSN-THR-APP-07.THR.tzghosting.net,Connection-Error
ABN-CMB-FXI-D01.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-D02.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-D03.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-D03.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T02.CMB.tzghosting.net,Reboot Not Required
CSN-THR-APP-10.THR.tzghosting.net,Connection-Error
ABN-CMB-FXI-T03.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T04.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T07.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T10.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T15.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T16.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T17.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T18.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T19.CMB.tzghosting.net,Reboot Not Required
CSN-THR-BIZ-01.THR.tzghosting.net,Connection-Error
ABN-CMB-FXI-T20.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T21.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T22.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T23.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T24.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T25.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T26.CMB.tzghosting.net,Reboot Not Required
CSN-THR-HUB-01.THR.tzghosting.net,Connection-Error
