Server,RebootStatus
CSN-CMB-HPA-27.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-31.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-HPA-34.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-HPA-54.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-55.CMB.tzghosting.net,Reboot Required
CSN-CMB-HPA-56.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-HPA-58.CMB.tzghosting.net,Reboot Required
CSN-CMB-IHM-01.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-SQL-05.CMB.tzghosting.net,Reboot Required
CSN-CMB-SQL-07.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-SQL-09.CMB.tzghosting.net,Reboot Required
CSN-CMB-SQL-10.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-SQL-12.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-SQL-99.CMB.tzghosting.net,Reboot Required
CSN-CMB-WAS-29.CMB.tzghosting.net,Reboot Required
CSN-CMB-WAS-32.CMB.tzghosting.net,Reboot Required
CSN-CMB-WAS-33.CMB.tzghosting.net,Reboot Required
CSN-CMB-WAS-38.CMB.tzghosting.net,Reboot Required
CSN-CMB-WAS-39.CMB.tzghosting.net,Reboot Required
CSN-CMB-WEB-01.CMB.tzghosting.net,Reboot Required
CSN-CMB-WEB-02.CMB.tzghosting.net,Reboot Required
CSN-CMB-WEB-09.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-WEB-14.CMB.tzghosting.net,Reboot Required
CSN-CMB-WEB-15.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-02.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-05.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-XEN-15.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-22.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-23.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-25.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-27.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-32.CMB.tzghosting.net,Reboot Not Required
CSN-CMB-XEN-35.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-52.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-57.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-62.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-65.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-66.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-74.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-A1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-A3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-D6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-D7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-D8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-D9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-E9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-F8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-G9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-H9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I1.CMB.tzghosting.net,Reboot Required
