Subnet,StartIPAddress,EndIPAddress
10.84.140.0/24,10.84.140.1,10.84.140.254
10.84.240.0/24,10.84.240.1,10.84.240.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.64.0/24,10.44.64.1,10.44.64.254
10.44.137.0/24,10.44.137.1,10.44.137.254
10.44.237.0/24,10.44.237.1,10.44.237.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.64.0/24,10.84.64.1,10.84.64.254
10.84.137.0/24,10.84.137.1,10.84.137.254
10.84.237.0/24,10.84.237.1,10.84.237.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.71.0/24,10.44.71.1,10.44.71.254
10.40.7.0/24,10.40.7.1,10.40.7.254
10.44.241.0/24,10.44.241.1,10.44.241.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.71.0/24,10.84.71.1,10.84.71.254
10.80.7.0/24,10.80.7.1,10.80.7.254
10.84.241.0/24,10.84.241.1,10.84.241.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.81.0/24,10.44.81.1,10.44.81.254
10.44.244.0/24,10.44.244.1,10.44.244.254
10.40.7.0/24,10.40.7.1,10.40.7.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.81.0/24,10.84.81.1,10.84.81.254
10.84.244.0/24,10.84.244.1,10.84.244.254
10.84.7.0/24,10.84.7.1,10.84.7.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.85.0/24,10.44.85.1,10.44.85.254
10.44.148.0/24,10.44.148.1,10.44.148.254
10.44.248.0/24,10.44.248.1,10.44.248.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.85.0/24,10.84.85.1,10.84.85.254
10.84.148.0/24,10.84.148.1,10.84.148.254
10.84.248.0/24,10.84.248.1,10.84.248.254
10.41.8.0/23,10.41.8.1,10.41.9.254
10.81.8.0/23,10.81.8.1,10.81.9.254
