Subnet,StartIPAddress,EndIPAddress
10.25.36.24/29,10.25.36.25,10.25.36.30
10.25.36.32/29,10.25.36.33,10.25.36.38
10.25.36.48/28,10.25.36.49,10.25.36.62
10.25.36.64/28,10.25.36.65,10.25.36.78
10.25.36.128/26,10.25.36.129,10.25.36.190
10.25.37.0/25,10.25.37.1,10.25.37.126
10.25.37.128/25,10.25.37.129,10.25.37.254
10.28.32.32/27,10.28.32.33,10.28.32.62
10.28.32.192/27,10.28.32.193,10.28.32.222
192.30.110.192/28,192.30.110.193,192.30.110.206
10.25.38.0/29,10.25.38.1,10.25.38.6
10.25.38.8/29,10.25.38.9,10.25.38.14
10.25.38.16/29,10.25.38.17,10.25.38.22
10.25.38.24/29,10.25.38.25,10.25.38.30
10.25.38.32/29,10.25.38.33,10.25.38.38
10.25.38.48/28,10.25.38.49,10.25.38.62
10.25.38.64/28,10.25.38.65,10.25.38.78
10.25.38.128/26,10.25.38.129,10.25.38.190
10.25.39.0/25,10.25.39.1,10.25.39.126
10.25.39.128/25,10.25.39.129,10.25.39.254
10.28.32.240/28,10.28.32.241,10.28.32.254
10.28.34.192/26,10.28.34.193,10.28.34.254
10.28.35.64/26,10.28.35.65,10.28.35.126
10.28.35.128/26,10.28.35.129,10.28.35.190
10.28.38.0/26,10.28.38.1,10.28.38.62
65.243.170.0/28,65.243.170.1,65.243.170.14
10.25.40.0/29,10.25.40.1,10.25.40.6
10.25.40.8/29,10.25.40.9,10.25.40.14
10.25.40.16/29,10.25.40.17,10.25.40.22
10.25.40.24/29,10.25.40.25,10.25.40.30
10.25.40.32/29,10.25.40.33,10.25.40.38
10.25.40.48/28,10.25.40.49,10.25.40.62
10.25.40.64/28,10.25.40.65,10.25.40.78
10.25.40.128/26,10.25.40.129,10.25.40.190
10.25.41.0/25,10.25.41.1,10.25.41.126
10.25.41.128/25,10.25.41.129,10.25.41.254
10.28.34.0/28,10.28.34.1,10.28.34.14
65.243.170.32/28,65.243.170.33,65.243.170.46
10.25.42.0/29,10.25.42.1,10.25.42.6
10.25.42.8/29,10.25.42.9,10.25.42.14
10.25.42.16/29,10.25.42.17,10.25.42.22
10.25.42.24/29,10.25.42.25,10.25.42.30
10.25.42.32/29,10.25.42.33,10.25.42.38
10.25.42.48/28,10.25.42.49,10.25.42.62
10.25.42.64/28,10.25.42.65,10.25.42.78
10.25.42.128/26,10.25.42.129,10.25.42.190
10.25.43.0/25,10.25.43.1,10.25.43.126
10.25.43.128/25,10.25.43.129,10.25.43.254
10.28.38.96/27,10.28.38.97,10.28.38.126
65.243.170.80/28,65.243.170.81,65.243.170.94
10.25.44.0/29,10.25.44.1,10.25.44.6
10.25.44.8/29,10.25.44.9,10.25.44.14
10.25.44.16/29,10.25.44.17,10.25.44.22
10.25.44.24/29,10.25.44.25,10.25.44.30
10.25.44.32/29,10.25.44.33,10.25.44.38
10.25.44.48/28,10.25.44.49,10.25.44.62
10.25.44.64/28,10.25.44.65,10.25.44.78
10.25.44.128/26,10.25.44.129,10.25.44.190
10.25.45.0/25,10.25.45.1,10.25.45.126
10.25.45.128/25,10.25.45.129,10.25.45.254
10.28.44.64/26,10.28.44.65,10.28.44.126
65.243.170.96/28,65.243.170.97,65.243.170.110
